IPM Region,State,Capacity (MW),Capacity Factor (%) - Winter,Capacity Factor (%) - Spring,Capacity Factor (%) - Summer,Capacity Factor (%) - Fall,Capital Cost (2022$/kW),FOM (2022$/kW)
S_SOU,MS,11.0,75.8%,78.3%,61.9%,64.3%,2296,41.7
S_VACA,GA,0.09,75.8%,78.3%,61.9%,64.3%,2537,63.43
S_VACA,NC,91.0,68.9%,74.6%,50.6%,51.0%,2583,67.17
S_VACA,SC,43.0,75.5%,77.6%,62.4%,61.0%,2377,41.66
SPP_N,MO,10.0,63.9%,80.6%,50.5%,47.1%,2888,72.21
SPP_N,KS,3.0,63.9%,80.6%,50.5%,47.1%,2022,30.54
SPP_NEBR,MO,13.0,63.9%,80.6%,50.5%,47.1%,2688,47.07
SPP_SPS,NM,26.0,40.6%,71.0%,75.7%,52.9%,2766,55.29
SPP_WEST,AR,343.0,66.8%,76.3%,43.5%,45.9%,1881,27.02
SPP_WEST,LA,24.0,66.8%,76.3%,43.5%,45.9%,1881,27.02
SPP_WEST,OK,312.0,48.5%,74.3%,56.1%,38.9%,2136,61.48
SPP_WEST,TX,10.0,59.6%,84.7%,52.9%,39.9%,1182,62.82
WEC_BANC,CA,0.09,62.6%,84.4%,61.6%,53.6%,4023,100.5
WECC_CALN,CA,111.0,59.6%,84.4%,61.6%,53.6%,2088,32.54
WECC_LADW,CA,27.0,55.6%,85.9%,77.5%,58.5%,2322,54.15
WECC_AZ,AZ,52.0,67.7%,85.9%,72.6%,57.1%,2227,35.39
WECC_CO,CO,146.0,47.5%,76.7%,80.4%,54.3%,2167,25.38
WECC_ID,ID,87.0,49.5%,84.4%,74.3%,51.5%,2195,35.13
WECC_IID,CA,0.38,55.6%,85.9%,77.5%,58.5%,1999,49.39
WECC_MT,MT,54.0,37.6%,84.4%,82.1%,48.1%,2735,37.24
WECC_NM,TX,63.0,82.8%,84.4%,82.1%,48.1%,2245,39.74
WECC_NNV,NV,12.0,50.0%,82.5%,69.2%,48.7%,4673,79.4
WECC_PNW,OR,48.0,74.8%,82.8%,74.3%,48.5%,3777,86.43
WECC_PNW,ID,87.0,47.5%,80.8%,74.3%,51.5%,2979,36.93
WECC_PNW,WA,70.0,83.9%,83.6%,61.4%,61.7%,2871,35.39
WECC_SCE,CA,34.0,55.6%,85.9%,77.4%,58.4%,2226,49.37
WECC_SNV,NV,2.0,88.1%,83.2%,81.7%,86.2%,4086,102.15
WECC_UT,UT,29.0,55.5%,79.1%,78.4%,59.3%,2697,53.14
WECC_WY,WY,36.0,43.8%,83.6%,76.2%,45.9%,2447,47.9
