Technology,Size (MW),First Year Available,Lead Time (Years),Availability,Generation Capability,Vintage Year,Heat Rate (Btu/kWh),Capital (2022$/kW),Fixed O&M (2022$/kW/yr),Variable O&M (2022$/MWh)
Battery Storage (4 Hours),60,2028,1,96.40%,Economic Dispatch,2035,0,823,29.64,0
Battery Storage (4 Hours),60,2028,1,96.40%,Economic Dispatch,2040,0,754,27.16,0
Battery Storage (4 Hours),60,2028,1,96.40%,Economic Dispatch,2045,0,685,24.68,0
Battery Storage (4 Hours),60,2028,1,96.40%,Economic Dispatch,2050-2055,0,617,22.21,0
Battery Storage (10 Hours),60,2028,1,96.40%,Economic Dispatch,2028,0,"2,077",74.82,0
Battery Storage (10 Hours),60,2028,1,96.40%,Economic Dispatch,2030,0,"1,902",68.52,0
Battery Storage (10 Hours),60,2028,1,96.40%,Economic Dispatch,2035,0,"1,741",62.74,0
Battery Storage (10 Hours),60,2028,1,96.40%,Economic Dispatch,2040,0,"1,581",56.97,0
Battery Storage (10 Hours),60,2028,1,96.40%,Economic Dispatch,2045,0,"1,422",51.23,0
Battery Storage (10 Hours),60,2028,1,96.40%,Economic Dispatch,2050-2055,0,"1,263",45.51,0
"Note: The capital costs for the landfill gas units at low, and very low methane producing sites are assumed to be 26% and 94% higher than the capital costs for the landfill gas units at high methane producing sites. The capital costs for solar PV units in 2028 are from the ATB 2023 advanced case, and the capital costs starting in 2035 are from the ATB 2023 moderate case. The capital costs in 2030 are linearly interpolated. The capital costs and FOM of energy storage units are based on the AEO 2023 estimate for 2023 and are adjusted in future years based on the trend underlying the ATB 2023 moderate case assumptions",,,,,,,,,,
